,en,de
.category.t2.section,Novels,Romane
.error.book.existing,The book id '{0}' already exists.,Es gibt bereits ein anderes Buch mit der Signatur {0}.
.error.book.none,No book found.,Kein Buch gefunden.
.error.category.existing,The category id '{0}' already exists.,Die Abkürzung '{0}' existiert bereits.
.error.config.default,Could not access the default preferences.,Die Voreinstellungen konnten nicht geladen werden.
.error.config.load,Could not load the preferences.\nLoading default preferences instead.,Die Einstellungen konnten nicht geladen werden.\nEs wird auf die Voreinstellungen zurückgegriffen.
.error.config.save,Unable to save the preferences.\nIs the data path correctly defined?,Die Einstellungen konnten nicht gespeichert werden.\nIst der Data-Ordner richtig konfiguriert?
.error.db,The database could not be opened.,Die Datenbank konnte nicht geöffnet werden.
.error.file-open,The file could not be opened,Die Datei konnte nicht geöffnet werden.
.error.fx,Error during window initialization.,Fehler beim Laden des Fensters.
.error.input,Malformed User or Book Data.,Fehlerhafte Account- oder Buchdaten.
.error.lending.already-borrowed-by,The user borrows the book already.,Der Benutzer leiht das Buch bereits aus.
.error.lending.already-borrowed,The book is already borrowed.,Das Buch ist bereits ausgeliehen.
.error.lending.already-reserved,The book is already reserved.,Das Buch wurde bereits reserviert.
.error.lending.book,The book may not be borrowed.,Das Buch darf nicht ausgeliehen werden.
.error.lending.not-borrowed,The book may not be reserved because it is not borrowed yet.,"Das Buch kann nicht reserviert werden, da es noch nicht ausgeliehen wurde."
.error.lending.user,The user may not borrow books.,Der Benutzer darf keine Bücher ausleihen.
.error.no-project,No project has been opened.,Es wurde noch kein Projekt geöffnet.
.error.sql,Database access failed.,Datenbankzugriff fehlgeschlagen.
.error.update,Critical error during the update of the database!\nPlease contanct a developer.,Kritischer Fehler beim Aktualisieren der Datenbank!\nBitte kontaktiere einen Entwickler.
.error.user.existing,The user account '{0}' already exists.,Ein Benutzer mit dem Account '{0}' existiert bereits.
.error.user.none,No user found.,Kein Benutzer gefunden.
.error.userfile,The user file could not be opened.,Die Benutzerdatei konnte nicht geöffnet werden.
.info.about,The development of this application started in the 11th grade computer science course in 2015. Lars Wrenger completed its development and now maintains the project.,"Dieses Programm ist 2015 im Rahmen des Jg. 11 Informatikkurses von Herrn Grave entstanden. Fertiggestellt wurde es von Lars Wrenger, der das Projekt nun betreut."
.info.category-freq,Number of Books per Category:\n\n{0},Anzahl der Bücher in den Kategorien:\n\n{0}
.info.help.title,Help,Hilfe
.info.stats,{0} book{0:|s} total.\n\n{1} authors{1:|s} total\n\n{2} user{2:|s} total.\n\n{3} book{3:|s} borrowed.\n{4} expired periods.\n\n{5} book{5:|s} reserved.\n\nTotal costs of all books: {6}\n(sum of all entered costs),{0} {0:Buch|Bücher} eingetragen.\n\n{1} Autor{1:|en} eingetragen\n\n{2} Benutzer eingetragen.\n\n{3} {3:Buch|Bücher} ausgeliehen.\nDavon {4} {4:Buch|Bücher} überzogen.\n\n{5} {5:Buch|Bücher} vorgemerkt.\n\nGesamtpreis aller Medien: {6}\n(Summe aller eingetragenen Preise)
.info.title,Info - Version: {0},Info - Version: {0}
.mail.info,"You can use keywords in the subject and content. They are replace with the respective values before the mail is send.\n\n{username}: Username, {booktitle}: Book Title","Sowohl im Titel und auch im Inhalt können Schlüsselwörter verwendet werden. Diese werden beim Senden der Email durch den entsprechenden Werte ersetzt.\n\n{username}: Benutzername, {booktitle}: Buchtitel"
.mail.info.content,"Hallo {username},\nYou have shown interest in the book '{booktitle}.'\nNow it is back in the library, reserved for you to borrow.\n\nRegards,\nThe Library Team.","Hallo {username},\nDu hast dich für das Buch '{booktitle}' interessiert.\nDas Buch war ausgeliehen und liegt nun wieder in der Schülerbücherei.\nWenn du willst, kannst du es jetzt ausleihen.\n\nViele Grüße vom Schülerbüchereiteam."
.mail.info.subject,'{booktitle}' is back in the library,'{booktitle}' ist nun verfügbar!
.mail.info.title,Info,Info
.mail.label.content,Content,Inhalt
.mail.label.title,Subject,Titel
.mail.overdue.content,"Hello {username},\nThe borrowing period for the book '{booktitle}' has expired.\nPlease bring it back to the library.\n\nRegards,\nThe Library Team.","Hallo {username},\nDie Ausleihfrist für das Buch '{booktitle}' ist abgelaufen.\nBitte gib das Buch schnellstmöglich wieder in der Schülerbücherei ab.\n\nViele Grüße vom Schülerbüchereiteam."
.mail.overdue.subject,'{booktitle}' has expired,'{booktitle}' wird nun überzogen!
.mail.overdue.title,Expiration,Mahnung
.mail.overdue2.content,"Hello {username},\nThe borrowing period for the book '{booktitle}' has expired two weeks ago.\nFrom now on we have to charge you 1€ for every additional week.\n\nRegards,\nThe Library Team.","Hallo {username},\nDu hat das Buch '{booktitle}' schon seit über 2 Wochen\ntrotz täglicher Mahnungen überzogen.\nFür jede weitere Woche fallen ab jetzt 1€ Mahngebühren an.\n\nViele Grüße vom Schülerbüchereiteam."
.mail.overdue2.subject,Overdue fines for '{booktitle}'!,Mahngebühren aufgrund der Überziehung von '{booktitle}'.
.mail.overdue2.title,Expiration 2,Mahnung 2
.mail.reset,Reset,Reset
.main.info,Information,Informationen
.main.lending.none,No matching ID or ISBN found.,Keine passende Signatur oder ISBN gefunden.
.main.title,School Library System,Schülerbüchereiverwaltung
.menu.file,File,Datei
.pref.appearance.dark,Dark Theme,Dunkles Design
.pref.appearance.header,Appearance,Aussehen
.pref.borrowing.duration,Duration,Dauer
.pref.borrowing.header,Borrowing,Ausleihen
.pref.database.header,Database,Database
.pref.database.warning,Advanced SQL knowledge is needed for maintaining the database. Please ask a teacher or developer if you want to proceed.,Zur Datenbankwartung werden SQL-Kenntnisse benötigt. Bitte wende dich an einen Informatiklehrer oder Entwickler.
.pref.general.header,General,Generell
.pref.local,Local,Lokal
.pref.local.label,These settings are local to the current user,Diese Optionen betreffen nur den aktuellen Benutzer
.pref.mail.account.from,From,Absender
.pref.mail.account.header,Mail Account,Email Account
.pref.mail.account.host,Hostname,Host
.pref.mail.account.password,Password,Passwort
.pref.mail.templates.header,Mail Templates,Email Vorlagen
.pref.project,Project,Projekt
.pref.project.label,These settings are global to the whole library,Die globalen Projekteinstellungen betreffen die ganze Bibliothek
.pref.request.header,Requesting Media Information,Anfrage von Mediendaten
.pref.request.token,DNB Token,DNB Token
.pref.title,Settings,Einstellungen
.pref.user.delimiter,Delimiter,Trennzeichen
.pref.user.header,User,Benutzer
.pref.user.update,Update Users,Benutzer aktualisieren
.search.action,Search,Suchen
.search.advanced,Advanced,Erweitert
.search.base,Basic,Basic
.search.book,Books,Bücher
.search.book.entry,"Keyword (e.g. Author, Title or ID)","Suchbegriff (z.B. Autor, Titel oder Signatur)"
.search.user,Users,Benutzer
.search.user.entry,Keyword (e.g. Name or Account),Suchbegriff (z.B. Name oder Account)
.sql.title,Maintain Database,Datenbank warten
.user,User,Benutzer
.user.account,Account,Account
.user.books,Borrowed or Reserved Books,Ausgeliehene oder Vorgemerkte Bücher
.user.delete,Remove user from library?\nHis borrows and reservations will also be lost.,Möchtest du diesen Benutzer wirklich löschen?\nAlle seine Entleihungen und Vormerkungen gehen dadurch verloren!
.user.forename,Forename,Vorname
.user.invalid,"Account, Forename and Surname are mendatory.","Account, Vorname und Nachname dürfen nicht leer bleiben."
.user.may-borrow,May Borrow,Darf ausleihen
.user.may-not-borrow,May not Borrow,Darf nicht ausleihen
.user.new,Add User,Neuer Benutzer
.user.no-books,No book borrowed or reserved.,Keine Bücher ausgeliehen oder vorgemerkt.
.user.permission,Borrowing Permission,Ausleihberechtigung
.user.role,Role,Gruppe
.user.role.entry,Role (Class / Grade),Gruppe (Klasse / Jahrgang)
.user.state,State,Status
.user.surname,Surname,Nachname
